time,open,high,low,close
2021/11/23 06:30,403.18,404.62,399.2,399.34
2021/11/23 10:30,403.18,404.62,399.2,399.34
2021/11/23 14:30,398.12,400.21,393.45,393.73
2021/11/23 18:30,393.72,397.79,392.96,397.48
2021/11/23 22:30,393.72,397.79,392.96,397.48
2021/11/24 02:30,393.72,397.79,392.96,397.48
2021/11/24 06:30,393.72,397.79,392.96,397.48
2021/11/24 10:30,393.72,397.79,392.96,397.48
2021/11/24 14:30,394.94,398.26,392.58,397.92
2021/11/24 18:30,398.1,399.03,396.18,398.92
2021/11/24 22:30,398.1,399.03,396.18,398.92
2021/11/25 02:30,398.1,399.03,396.18,398.92
2021/11/25 06:30,398.1,399.03,396.18,398.92
2021/11/25 10:30,398.1,399.03,396.18,398.92
2021/11/25 14:30,398.1,399.03,396.18,398.92
2021/11/25 18:30,398.1,399.03,396.18,398.92
2021/11/25 22:30,398.1,399.03,396.18,398.92
2021/11/26 02:30,398.1,399.03,396.18,398.92
2021/11/26 06:30,398.1,399.03,396.18,398.92
2021/11/26 10:30,398.1,399.03,396.18,398.92
2021/11/26 14:30,396.07,397.53,389.83,391.32
2021/11/26 18:30,391.34,391.47,390.41,390.45
2021/11/26 22:30,391.34,391.47,390.41,390.45
2021/11/27 02:30,391.34,391.47,390.41,390.45
2021/11/27 06:30,391.34,391.47,390.41,390.45
2021/11/27 10:30,391.34,391.47,390.41,390.45
2021/11/27 14:30,391.34,391.47,390.41,390.45
2021/11/27 18:30,391.34,391.47,390.41,390.45
2021/11/27 22:30,391.34,391.47,390.41,390.45
2021/11/28 02:30,391.34,391.47,390.41,390.45
2021/11/28 06:30,391.34,391.47,390.41,390.45
2021/11/28 10:30,391.34,391.47,390.41,390.45
2021/11/28 14:30,391.34,391.47,390.41,390.45
2021/11/28 18:30,391.34,391.47,390.41,390.45
2021/11/28 22:30,391.34,391.47,390.41,390.45
2021/11/29 02:30,391.34,391.47,390.41,390.45
2021/11/29 06:30,391.34,391.47,390.41,390.45
2021/11/29 10:30,391.34,391.47,390.41,390.45
2021/11/29 14:30,395.89,400.28,395.16,399.86
2021/11/29 18:30,399.85,400.7,399.26,399.62
2021/11/29 22:30,399.85,400.7,399.26,399.62
2021/11/30 02:30,399.85,400.7,399.26,399.62
2021/11/30 06:30,399.85,400.7,399.26,399.62
2021/11/30 10:30,399.85,400.7,399.26,399.62
2021/11/30 14:30,398.74,401.18,391.75,393.28
2021/11/30 18:30,393.29,395.55,392.74,393.71
2021/11/30 22:30,393.29,395.55,392.74,393.71
2021/12/01 02:30,393.29,395.55,392.74,393.71
2021/12/01 06:30,393.29,395.55,392.74,393.71
2021/12/01 10:30,393.29,395.55,392.74,393.71
2021/12/01 14:30,398.32,400.48,394.74,396.13
2021/12/01 18:30,396.13,396.195,386.64,386.98
2021/12/01 22:30,396.13,396.195,386.64,386.98
2021/12/02 02:30,396.13,396.195,386.64,386.98
2021/12/02 06:30,396.13,396.195,386.64,386.98
2021/12/02 10:30,396.13,396.195,386.64,386.98
2021/12/02 14:30,385.83,391.61,384.35,388.77
2021/12/02 18:30,388.81,391.73,388.24,389.93
2021/12/02 22:30,388.81,391.73,388.24,389.93
2021/12/03 02:30,388.81,391.73,388.24,389.93
2021/12/03 06:30,388.81,391.73,388.24,389.93
2021/12/03 10:30,388.81,391.73,388.24,389.93
2021/12/03 14:30,391.5,392.26,379.47,381.47
2021/12/03 18:30,381.29,383.86,378.92,383.2
2021/12/03 22:30,381.29,383.86,378.92,383.2
2021/12/04 02:30,381.29,383.86,378.92,383.2
2021/12/04 06:30,381.29,383.86,378.92,383.2
2021/12/04 10:30,381.29,383.86,378.92,383.2
2021/12/04 14:30,381.29,383.86,378.92,383.2
2021/12/04 18:30,381.29,383.86,378.92,383.2
2021/12/04 22:30,381.29,383.86,378.92,383.2
2021/12/05 02:30,381.29,383.86,378.92,383.2
2021/12/05 06:30,381.29,383.86,378.92,383.2
2021/12/05 10:30,381.29,383.86,378.92,383.2
2021/12/05 14:30,381.29,383.86,378.92,383.2
