datetime,open,high,low,close,volume,atr
2024-02-13 17:00:00,429.56,429.64,429.32,429.55,62255,0.650955173
2024-02-13 17:05:00,429.54,429.6,429.02,429.15,59638,0.645886946
2024-02-13 17:10:00,429.19,429.24,428.83,429.15,57279,0.629037879
2024-02-13 17:15:00,429.17,429.49,429.17,429.32,48488,0.608392316
2024-02-13 17:20:00,429.32,429.45,429.14,429.18,44493,0.587078579
2024-02-13 17:25:00,429.18,429.24,428.7,428.83,70359,0.583715823
2024-02-13 17:30:00,428.86,429.64,428.86,429.55,56728,0.599878979
2024-02-13 17:35:00,429.55,429.68,429.31,429.53,40005,0.583459052
2024-02-13 17:40:00,429.52,429.71,429.45,429.53,36006,0.560354834
2024-02-13 17:45:00,429.52,429.6,429.07,429.07,30820,0.558186631
2024-02-13 17:50:00,429.04,429.26,428.44,428.46,83659,0.576887586
2024-02-13 17:55:00,428.45,428.58,428.18,428.42,85536,0.564252759
2024-02-13 18:00:00,428.38,428.55,428.22,428.41,65044,0.547520419
2024-02-13 18:05:00,428.42,428.64,428.27,428.64,56352,0.534840389
2024-02-13 18:10:00,428.62,428.84,428.4,428.83,67572,0.528066075
2024-02-13 18:15:00,428.8,428.99,428.5,428.65,61793,0.52534707
2024-02-13 18:20:00,428.63,428.74,428.36,428.7,45291,0.514965136
2024-02-13 18:25:00,428.68,428.87,428.52,428.64,52063,0.503181912
2024-02-13 18:30:00,428.65,428.8,428.42,428.47,50897,0.494383204
2024-02-13 18:35:00,428.49,428.61,428.31,428.61,56471,0.48049869
2024-02-13 18:40:00,428.61,428.65,428.38,428.44,50558,0.465463069
2024-02-13 18:45:00,428.425,428.57,428.0,428.12,69217,0.472929993
2024-02-13 18:50:00,428.11,428.16,427.84,427.89,60552,0.462006422
2024-02-13 18:55:00,427.9,428.04,427.78,428.04,93884,0.447577392
2024-02-13 19:00:00,428.02,428.02,427.25,427.29,97250,0.472036149
2024-02-13 19:05:00,427.32,427.34,426.94,427.07,81626,0.46689071
2024-02-13 19:10:00,427.06,427.08,426.45,426.53,154557,0.478541374
2024-02-13 19:15:00,426.52,426.97,426.46,426.76,145147,0.480788418
2024-02-13 19:20:00,426.79,426.96,426.67,426.8,64633,0.467160674
2024-02-13 19:25:00,426.77,427.12,426.51,426.97,71750,0.477363483
2024-02-13 19:30:00,426.96,427.6,426.91,427.5,135960,0.492551806
2024-02-13 19:35:00,427.5,427.73,427.4,427.7,72264,0.480940963
2024-02-13 19:40:00,427.7,427.81,427.395,427.42,76278,0.476230894
2024-02-13 19:45:00,427.41,427.5,426.74,426.75,109022,0.496500116
2024-02-13 19:50:00,426.78,426.87,426.03,426.15,186586,0.521035822
2024-02-13 19:55:00,426.16,426.36,425.9,426.11,148060,0.51667612
2024-02-13 20:00:00,426.11,426.35,425.79,425.86,90821,0.519770683
2024-02-13 20:05:00,425.86,426.13,425.84,425.88,84465,0.503358491
2024-02-13 20:10:00,425.89,426.05,425.75,425.87,78798,0.488832885
2024-02-13 20:15:00,425.87,426.04,425.59,425.71,83889,0.486059107
2024-02-13 20:20:00,425.69,425.8,425.34,425.48,160814,0.484197743
2024-02-13 20:25:00,425.49,426.05,425.4,425.96,136900,0.496040761
2024-02-13 20:30:00,425.98,426.36,425.8,426.34,188975,0.500609278
2024-02-13 20:35:00,426.33,426.5,426.21,426.315,109865,0.485565758
2024-02-13 20:40:00,426.3,427.23,426.28,427.17,123497,0.518739633
2024-02-13 20:45:00,427.17,427.68,427.17,427.54,205383,0.518115373
2024-02-13 20:50:00,427.54,427.64,427.12,427.56,355754,0.518249989
2024-02-13 20:55:00,427.55,428.56,427.44,428.51,904177,0.561232133
2024-02-14 14:30:00,431.26,431.97,431.15,431.2,255801,0.768286981
2024-02-14 14:35:00,431.26,431.3,430.32,430.35,166403,0.783409339
2024-02-14 14:40:00,430.36,430.97,430.13,430.84,123431,0.787451529
2024-02-14 14:45:00,430.84,431.32,430.84,430.97,85539,0.765490706
2024-02-14 14:50:00,430.99,431.05,430.35,430.52,87655,0.760812798
2024-02-14 14:55:00,430.51,431.28,430.44,431.28,92664,0.766469027
2024-02-14 15:00:00,431.29,431.54,430.94,431.15,97557,0.754578382
2024-02-14 15:05:00,431.14,431.87,431.14,431.38,114208,0.752822783
2024-02-14 15:10:00,431.39,431.58,431.12,431.32,46873,0.73190687
2024-02-14 15:15:00,431.32,432.18,431.13,432.15,122961,0.754627808
2024-02-14 15:20:00,432.14,432.59,432.07,432.59,108691,0.737868679
2024-02-14 15:25:00,432.6,432.65,432.2,432.41,85361,0.71730663
2024-02-14 15:30:00,432.47,432.53,432.02,432.19,53075,0.702499014
2024-02-14 15:35:00,432.18,432.25,431.62,431.77,83369,0.697320513
2024-02-14 15:40:00,431.77,431.79,431.27,431.35,69063,0.684654762
2024-02-14 15:45:00,431.33,431.65,431.16,431.59,87362,0.67075085
2024-02-14 15:50:00,431.63,431.71,430.82,430.94,101859,0.686411504
2024-02-14 15:55:00,430.95,430.99,430.17,430.17,117232,0.695953539
2024-02-14 16:00:00,430.16,430.16,429.25,429.65,234452,0.711956858
2024-02-14 16:05:00,429.66,430.13,429.57,429.82,82778,0.701102797
2024-02-14 16:10:00,429.84,430.12,429.62,429.62,38717,0.686738311
2024-02-14 16:15:00,429.64,429.75,429.22,429.67,57854,0.675542718
2024-02-14 16:20:00,429.62,430.47,429.41,430.47,70943,0.703003952
2024-02-14 16:25:00,430.48,430.57,430.13,430.38,56218,0.684217955
2024-02-14 16:30:00,430.38,430.65,430.3,430.43,32792,0.660345244
2024-02-14 16:35:00,430.44,430.58,430.3,430.58,46009,0.633177727
2024-02-14 16:40:00,430.57,430.75,429.67,429.8,114109,0.665093604
2024-02-14 16:45:00,429.84,430.16,429.71,430.06,46546,0.649729775
2024-02-14 16:50:00,430.08,430.38,429.97,430.22,39532,0.632606219
2024-02-14 16:55:00,430.21,430.26,429.77,429.79,67595,0.622420061
2024-02-14 17:00:00,429.8,429.82,429.04,429.23,114411,0.633675771
2024-02-14 17:05:00,429.23,429.69,428.88,429.59,82222,0.646270359
2024-02-14 17:10:00,429.57,430.03,429.57,429.82,47584,0.632965333
2024-02-14 17:15:00,429.86,430.09,429.77,429.9,46895,0.610610666
2024-02-14 17:20:00,429.89,430.15,429.71,430.07,28881,0.59842419
2024-02-14 17:25:00,430.07,430.63,430.07,430.61,65416,0.595679605
2024-02-14 17:30:00,430.62,431.01,430.57,430.98,41259,0.584559633
2024-02-14 17:35:00,430.98,431.0,430.57,430.64,35509,0.57351966
2024-02-14 17:40:00,430.64,431.08,430.55,430.96,66491,0.570411112
2024-02-14 17:45:00,430.99,431.12,430.88,431.02,28408,0.546810319
2024-02-14 17:50:00,431.0,431.07,430.85,430.99,29714,0.523466725
2024-02-14 17:55:00,431.01,431.21,430.87,430.95,45600,0.510361958
2024-02-14 18:00:00,430.96,431.33,430.74,431.19,30162,0.51605039
2024-02-14 18:05:00,431.2,431.23,430.7,430.73,33085,0.517046791
2024-02-14 18:10:00,430.69,430.72,430.04,430.29,98916,0.529400591
2024-02-14 18:15:00,430.27,430.59,430.18,430.31,39237,0.520871978
2024-02-14 18:20:00,430.32,430.63,430.25,430.36,27299,0.510809694
2024-02-14 18:25:00,430.37,430.58,430.33,430.55,31020,0.49218043
2024-02-14 18:30:00,430.56,431.27,430.47,431.16,40045,0.514167542
2024-02-14 18:35:00,431.19,431.76,431.18,431.72,68332,0.520298432
2024-02-14 18:40:00,431.73,431.85,431.26,431.29,63535,0.525277115
2024-02-14 18:45:00,431.32,431.64,431.31,431.6,26729,0.512757321
2024-02-14 18:50:00,431.62,431.68,431.42,431.48,50609,0.494703227
2024-02-14 18:55:00,431.48,431.49,430.76,431.18,75309,0.511510139
2024-02-14 19:00:00,431.18,431.21,430.66,430.67,61405,0.514259415
2024-02-14 19:05:00,430.67,430.67,429.85,430.12,146019,0.536098028
2024-02-14 19:10:00,430.1,430.57,430.0,430.42,76662,0.538519598
2024-02-14 19:15:00,430.43,430.59,430.14,430.16,66996,0.532196769
2024-02-14 19:20:00,430.16,430.78,430.16,430.63,55139,0.538468429
2024-02-14 19:25:00,430.64,431.14,430.61,431.07,66968,0.537863541
2024-02-14 19:30:00,431.07,431.15,430.86,431.1,40842,0.520159002
2024-02-14 19:35:00,431.1,431.44,430.98,431.23,99784,0.515861931
2024-02-14 19:40:00,431.24,431.34,431.001,431.13,52706,0.503228936
2024-02-14 19:45:00,431.15,431.31,430.91,431.29,44995,0.49585544
2024-02-14 19:50:00,431.29,431.36,431.11,431.24,45630,0.478294337
2024-02-14 19:55:00,431.24,431.46,431.01,431.45,93088,0.476273313
2024-02-14 20:00:00,431.46,431.68,431.15,431.66,112453,0.480110934
2024-02-14 20:05:00,431.65,431.79,431.49,431.77,94161,0.467245867
2024-02-14 20:10:00,431.79,431.81,431.48,431.64,109921,0.457442591
2024-02-14 20:15:00,431.64,431.98,431.61,431.83,112605,0.451196691
2024-02-14 20:20:00,431.86,432.06,431.8,432.04,81592,0.437539785
2024-02-14 20:25:00,432.04,432.55,432.02,432.42,129557,0.444144086
2024-02-14 20:30:00,432.44,432.53,432.11,432.26,92583,0.442419508
2024-02-14 20:35:00,432.25,432.79,432.22,432.78,78891,0.451532401
2024-02-14 20:40:00,432.75,432.97,432.68,432.9,161510,0.439994372
2024-02-14 20:45:00,432.89,433.15,432.81,433.15,178020,0.432851917
2024-02-14 20:50:00,433.13,433.34,433.0,433.0,198706,0.426219637
2024-02-14 20:55:00,433.03,433.65,433.01,433.24,876714,0.442203949
2024-02-15 14:30:00,433.92,434.28,433.52,433.6,190901,0.484903667
2024-02-15 14:35:00,433.62,433.68,432.92,433.27,149393,0.504553405
2024-02-15 14:40:00,433.26,433.56,432.73,432.89,88690,0.52779959
2024-02-15 14:45:00,432.89,433.41,432.76,433.04,79835,0.536528191
2024-02-15 14:50:00,433.07,433.49,432.28,432.39,103764,0.58463332
2024-02-15 14:55:00,432.4,432.52,432.04,432.17,70784,0.577159512
2024-02-15 15:00:00,432.22,432.44,431.73,431.96,115076,0.586648118
2024-02-15 15:05:00,431.93,432.86,431.9,432.83,80364,0.613316109
2024-02-15 15:10:00,432.82,433.2,432.67,433.17,58860,0.607364959
2024-02-15 15:15:00,433.129,433.31,432.86,433.05,99102,0.596124605
2024-02-15 15:20:00,433.07,433.1,432.41,432.92,121689,0.60282999
2024-02-15 15:25:00,432.96,433.16,432.02,432.23,103612,0.641199276
